id,category_id,detail,lat,lng,place,region
KCLANPO22N000019347,CT4,지역관광지,36.46735891,127.1290506,미르섬  ,충청남도
KCLANPO22N000019348,CT4,지역관광지,37.56054862,127.0716204,서울단풍길 중랑천제방길,서울특별시
KCLANPO22N000019349,CT4,지역관광지,35.05130351,126.8704881,남평은행나무길  ,전라남도
KCLANPO22N000019410,CT1,관광농원/허브마을,33.4441142,126.7783667,스누피가든  ,제주특별자치도
KCLANPO22N000019411,CT1,관광농원/허브마을,37.91954391,128.7914375,하하팜스테이  ,강원도
KCLANPO22N000019412,CT1,관광농원/허브마을,37.83857411,127.7303388,블루베리체험농장  ,강원도
KCLANPO22N000019413,CT1,관광농원/허브마을,35.60190918,127.4766054,맑은고을사과농장  ,전라북도
KCLANPO22N000019414,CT1,관광농원/허브마을,37.25366547,126.9542893,짱구농장  ,경기도
KCLANPO22N000019415,CT1,관광농원/허브마을,36.48980167,129.185497,학고을농원  ,경상북도
KCLANPO22N000019416,CT1,관광농원/허브마을,37.65835902,126.867756,허브랜드  ,경기도
KCLANPO22N000019417,CT1,관광농원/허브마을,35.92825311,128.1058383,송화관광농원  ,경상북도
KCLANPO22N000019418,CT1,관광농원/허브마을,36.70082087,127.2604851,식물원들꽃세상  ,충청남도
KCLANPO22N000019419,CT1,관광농원/허브마을,35.95680938,126.8169815,볕뜰농원  ,전라북도
KCLANPO22N000019420,CT1,관광농원/허브마을,35.56567272,127.7671037,호미랑교육농장  ,경상남도
KCLANPO22N000019421,CT1,관광농원/허브마을,34.94165456,126.9790393,그린관광농원  ,전라남도
KCLANPO22N000019422,CT1,관광농원/허브마을,37.52071998,128.4488126,광천팜스테이영농조합법인  ,강원도
KCLANPO22N000019423,CT1,관광농원/허브마을,37.36985393,128.4393806,평창해락촌  ,강원도
KCLANPO22N000019424,CT1,관광농원/허브마을,35.33457889,128.9693169,쌍둥이딸기농장  ,경상남도
KCLANPO22N000019425,CT1,관광농원/허브마을,37.75030917,127.9578127,홍천동키마을체험관  ,강원도
KCLANPO22N000019426,CT1,해수욕장,37.30940129,129.2883951,문암해수욕장  ,강원도
KCLANPO22N000019427,CT1,해수욕장,36.56880982,126.3164443,삼봉해수욕장  ,충청남도
KCLANPO22N000019428,CT1,해수욕장,36.44806451,126.335347,샛별해수욕장  ,충청남도
KCLANPO22N000019429,CT1,해수욕장,34.19491324,126.8618361,청산지리해수욕장  ,전라남도
KCLANPO22N000019430,CT1,해수욕장,37.47771409,129.1595122,추암해수욕장  ,강원도
KCLANPO22N000019431,CT1,해수욕장,34.66434979,127.2296116,풍류해수욕장  ,전라남도
KCLANPO22N000019432,CT1,해수욕장,34.83940354,128.0759748,모상개해수욕장  ,경상남도
KCLANPO22N000019433,CT1,해수욕장,34.89349851,128.0751552,신수도몽돌해수욕장  ,경상남도
KCLANPO22N000019434,CT1,해수욕장,34.73464766,128.3962871,연대도해수욕장  ,경상남도
KCLANPO22N000019435,CT1,해수욕장,34.87793833,125.9919729,양산해수욕장  ,전라남도
KCLANPO22N000019436,CT1,해수욕장,36.07604543,126.6313723,갈목해수욕장  ,충청남도
KCLANPO22N000019437,CT1,해수욕장,35.82875212,126.4021241,몽돌해수욕장  ,전라북도
KCLANPO22N000019438,CT1,해수욕장,33.46221429,126.3101513,한담해변  ,제주특별자치도
KCLANPO22N000019439,CT1,해수욕장,34.97801157,128.6307798,옥계해수욕장  ,경상남도
KCLANPO22N000019440,CT1,폭포/계곡,37.22554651,128.9357874,검룡소  ,강원도
KCLANPO22N000019441,CT1,폭포/계곡,35.39352992,127.482936,구룡폭포  ,전라북도
KCLANPO22N000019442,CT1,폭포/계곡,36.21244938,127.6710375,옥계폭포  ,충청북도
KCLANPO22N000019443,CT1,폭포/계곡,35.81784713,128.1340423,용기폭포  ,경상북도
KCLANPO22N000019444,CT1,폭포/계곡,35.79444241,128.0860489,용문폭포  ,경상남도
KCLANPO22N000019445,CT1,폭포/계곡,37.35463766,126.9258333,인공폭포  ,경기도
KCLANPO22N000019446,CT1,폭포/계곡,35.26624292,127.5818285,피아골계곡  ,전라남도
KCLANPO22N000019447,CT1,폭포/계곡,37.40012667,128.3400569,원당계곡  ,강원도
KCLANPO22N000019448,CT1,폭포/계곡,36.14671798,127.8296734,중화사계곡  ,충청북도
KCLANPO22N000019449,CT1,폭포/계곡,38.14431363,128.3931585,숨은폭포  ,강원도
KCLANPO22N000019450,CT1,폭포/계곡,35.80964038,128.6618713,대룡폭포  ,대구광역시
KCLANPO22N000019451,CT1,폭포/계곡,36.4866984,127.9586378,청계사계곡  ,경상북도
KCLANPO22N000019452,CT4,지역상권,35.79460842,128.0948019,아리랑상회  ,경상남도
KCLANPO22N000019453,CT4,지역상권,37.26490437,127.0022293,성불각  ,경기도
KCLANPO22N000019454,CT4,지역상권,37.20967447,126.9434684,한국에코하우스  ,경기도
KCLANPO22N000019455,CT4,지역상권,37.74265717,127.0512926,용궁불교백화점  ,경기도
KCLANPO22N000019456,CT4,지역상권,37.13121579,126.9061659,경기상사  ,경기도
KCLANPO22N000019457,CT4,지역상권,35.2603985,128.8716536,별빛기프트  ,경상남도
KCLANPO22N000019458,CT4,지역상권,37.63244116,127.198241,오성산업  ,경기도
KCLANPO22N000019459,CT4,지역상권,37.6457444,128.6806676,설국  ,강원도
KCLANPO22N000019460,CT4,지역상권,37.43675548,127.1405801,이노비즈그룹  ,경기도
KCLANPO22N000019461,CT4,지역상권,37.52604653,126.883995,자채기념품  ,서울특별시
KCLANPO22N000019462,CT4,지역상권,35.83855181,127.1337166,끌림  ,전라북도
KCLANPO22N000019463,CT4,지역상권,35.53869624,129.2969405,글로벌마테  ,울산광역시
KCLANPO22N000019464,CT4,지역상권,35.08610095,126.8665008,공예품전시판매장금남상가  ,광주광역시
KCLANPO22N000019465,CT4,지역상권,35.17340756,126.9260038,성모암  ,광주광역시
KCLANPO22N000019466,CT4,지역상권,37.49479419,127.0408871,제이앤에스코리아  ,서울특별시
KCLANPO22N000019467,CT4,지역상권,36.08238974,129.4010583,고고슬라임  ,경상북도
KCLANPO22N000019468,CT4,지역상권,37.58759093,127.0188759,티앤디네트워크  ,서울특별시
KCLANPO22N000019469,CT4,지역상권,36.32620568,127.4343312,오도상사  ,대전광역시
KCLANPO22N000019470,CT4,지역상권,33.49587202,126.5257461,제주파티앤벌륜  ,제주특별자치도
KCLANPO22N000019471,CT4,지역상권,33.46275173,126.9359214,양숙이토산품마트  ,제주특별자치도
KCLANPO22N000019472,CT4,지역상권,33.43680848,126.6773043,하루버스  ,제주특별자치도
KCLANPO22N000019473,CT4,지역상권,36.49930453,126.6252182,광천불교만물사  ,충청남도
KCLANPO22N000019474,CT4,지역상권,35.93348757,128.8676865,명가수석  ,경상북도
KCLANPO22N000019475,CT4,지역상권,35.20542731,128.6993986,골동품경매장  ,경상남도
KCLANPO22N000019476,CT4,지역상권,33.51557647,126.5120922,용두암기념품  ,제주특별자치도
KCLANPO22N000019477,CT4,지역상권,37.48476079,127.1184404,원몰기프트  ,서울특별시
KCLANPO22N000019478,CT4,지역상권,36.65865004,126.3831702,서해안생강한과  ,충청남도
KCLANPO22N000019479,CT4,지역상권,36.10107883,127.4980016,대양약초인삼사  ,충청남도
KCLANPO22N000019480,CT4,지역상권,33.24731668,126.5613246,제주토산품  ,제주특별자치도
KCLANPO22N000019481,CT4,지역상권,37.38088708,128.6653894,크리아트 정선점,강원도
KCLANPO22N000019482,CT4,지역상권,37.53631746,126.943909,대동금속공예  ,서울특별시
KCLANPO22N000019483,CT4,지역상권,34.84725988,128.4217028,토성공예사  ,경상남도
KCLANPO22N000019484,CT4,지역상권,35.76908086,126.9120637,중앙공예사  ,전라북도
KCLANPO22N000019485,CT4,지역상권,37.47078426,126.627074,모아선물의집  ,인천광역시
KCLANPO22N000019486,CT4,지역상권,35.82986736,127.1613512,성진기프트프라자  ,전라북도
KCLANPO22N000019487,CT4,지역상권,36.3324827,127.4299111,중앙공예사  ,대전광역시
KCLANPO22N000019488,CT4,지역상권,35.1418059,126.8452682,국보예술  ,광주광역시
KCLANPO22N000019489,CT4,지역상권,36.4686932,127.1344421,공주율찬  ,충청남도
KCLANPO22N000019490,CT4,지역상권,33.24456608,126.4595097,수상한토끼  ,제주특별자치도
KCLANPO22N000019491,CT3,놀이공원,36.12642907,128.1845673,김천시청소년테마파크(2023년7월예정)  ,경상북도
KCLANPO22N000019492,CT3,놀이공원,37.58061019,128.3298902,휘닉스블루캐니언  ,강원도
KCLANPO22N000019493,CT3,놀이공원,33.26317797,126.3814838,중문미로파크  ,제주특별자치도
KCLANPO22N000019494,CT3,놀이공원,34.45790188,127.4915315,고흥우주랜드  ,전라남도
KCLANPO22N000019495,CT3,놀이공원,35.61804144,129.441715,키즈오토파크 울산점,울산광역시
KCLANPO22N000019496,CT3,놀이공원,35.25034771,128.894949,반려동물테마공원(2023년12월예정)  ,경상남도
KCLANPO22N000019497,CT3,놀이공원,36.50319092,127.1547029,공주훼미리랜드  ,충청남도
KCLANPO22N000019498,CT3,놀이공원,37.23584579,127.6958063,강천섬유원지  ,경기도
KCLANPO22N000019499,CT3,놀이공원,34.5800868,126.616909,물통거리유원지  ,전라남도
KCLANPO22N000019500,CT3,놀이공원,36.66013329,128.5136893,미호천유원지  ,경상북도
KCLANPO22N000019501,CT3,놀이공원,38.29432786,128.3636431,진부령유원지  ,강원도
KCLANPO22N000019502,CT3,놀이공원,35.59478041,128.9947979,호박소휴양지  ,경상남도
KCLANPO22N000019503,CT3,놀이공원,36.13069691,126.9213265,성당포구금강체험관  ,전라북도
